Name,Region,SubRegion,Population,Area,Density
Macau,Asia,Eastern Asia,712651,30,23755.033333333333
Monaco,Europe,Western Europe,38857,2.02,19236.138613861385
Singapore,Asia,South-Eastern Asia,6110200,710,8605.915492957747
Hong Kong,Asia,Eastern Asia,7498100,1104,6791.757246376812
Gibraltar,Europe,Southern Europe,37936,6,6322.666666666667
Vatican City,Europe,Southern Europe,882,0.44,2004.5454545454545
Maldives,Asia,Southern Asia,601269,300,2004.23
Bahrain,Asia,Western Asia,1501635,765,1962.921568627451
Sint Maarten,Americas,Caribbean,58477,34,1719.9117647058824
Malta,Europe,Southern Europe,519562,316,1644.1835443037974
Bangladesh,Asia,Southern Asia,175423000,147570,1188.744324727248
Bermuda,Americas,North America,63913,54,1183.5740740740741
Jersey,Europe,Northern Europe,104540,116,901.2068965517242
Palestine,Asia,Western Asia,5483450,6220,881.5836012861737
Guernsey,Europe,Northern Europe,63950,78,819.8717948717949
Saint Martin,Americas,Caribbean,38659,53,729.4150943396227
Barbados,Americas,Caribbean,281998,430,655.8093023255814
Taiwan,Asia,Eastern Asia,23299132,36193,643.7469123863731
Mayotte,Africa,Eastern Africa,226915,374,606.7245989304813
Mauritius,Africa,Eastern Africa,1235260,2040,605.5196078431372
Aruba,Americas,Caribbean,108880,180,604.8888888888889
Nauru,Oceania,Micronesia,12025,21,572.6190476190476
San Marino,Europe,Southern Europe,34172,61,560.1967213114754
Rwanda,Africa,Eastern Africa,14104969,26338,535.5368289163946
Lebanon,Asia,Western Asia,5364482,10452,513.2493302717183
